Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
3652,2,2,1970,Partially,66.12,2.5,2285,Average,37.75,7.57,97.0,Medium,8.18,5.32,758028.3336844031
2250,4,3,1950,None,52.4,6.76,8462,Excellent,4.02,7.0,108.0,High,1.01,3.33,577119.9651371965
2921,3,1,1964,Partially,94.23,7.35,9874,Excellent,6.51,8.68,177.0,Medium,1.85,5.94,743905.478487934
1209,1,1,1966,Partially,,4.94,1023,Average,32.84,6.87,161.0,High,4.45,3.98,428511.1666466848
4226,3,2,2000,Fully,62.89,9.05,3796,Average,12.68,1.97,101.0,Low,4.9,2.57,719118.9579505083
4142,1,3,2012,Partially,,8.4,7456,Excellent,29.8,6.52,66.0,Medium,9.86,2.25,704875.9547063584
4493,3,3,1963,Fully,53.46,9.41,4979,,39.82,5.2,87.0,Medium,5.0,10.0,744129.8989860481
988,3,3,2008,None,84.33,4.52,8211,Average,29.27,9.82,178.0,High,11.91,4.11,427683.3747457813
546,2,3,1999,None,61.74,2.17,6185,Excellent,21.36,5.15,124.0,Medium,4.66,8.24,342791.3684346701
3859,5,2,1983,None,93.26,8.49,7147,Good,32.67,0.48,144.0,Medium,-4.36,4.07,815217.492319443
900,4,3,1955,Partially,82.66,3.78,9060,Good,8.04,2.72,93.0,High,-2.17,6.61,565553.8065998262
4490,4,2,1998,Fully,69.52,5.74,8294,Poor,36.44,9.18,137.0,High,9.36,8.57,656765.6607835297
3657,4,3,1955,Fully,68.88,8.54,6090,Excellent,35.15,9.63,69.0,High,4.04,7.26,817750.9732265
4845,1,3,2018,Fully,77.17,3.73,4883,Good,26.21,7.31,118.0,Medium,4.22,1.62,880007.0467936936
890,4,1,1956,Partially,61.14,4.5,898,,14.66,0.66,98.0,Low,14.56,2.73,449107.95789742836
4353,4,2,2000,Partially,91.87,5.51,2651,Good,40.08,0.33,155.0,Medium,6.43,8.86,823370.9904603888
4930,2,1,1950,Partially,79.59,4.17,5930,Good,26.02,4.85,120.0,Medium,-2.66,5.24,872071.1427933315
1128,3,2,1962,Partially,89.47,5.69,4380,Excellent,3.9,10.0,67.0,High,3.68,6.39,588061.0620507379
4732,4,3,1992,None,38.26,2.08,626,Poor,46.01,8.71,151.0,Medium,6.23,1.22,755584.0653667316
3430,5,3,1976,Fully,75.24,3.7,2587,Average,38.62,9.34,144.0,High,-4.25,5.39,769357.3245861963
2021,4,2,2020,Partially,78.72,8.66,2270,Average,29.66,6.27,58.0,Medium,2.29,4.88,574733.8839358396
1326,1,1,1952,Fully,74.95,5.31,7525,Excellent,22.4,8.61,115.0,Medium,14.36,7.18,977308.9699112546
2000,1,2,2007,Partially,75.34,7.09,8938,Excellent,48.04,3.27,109.0,High,10.03,3.47,407827.9650647699
3794,1,2,1966,Fully,70.18,3.86,6425,Good,38.98,0.37,157.0,High,2.44,7.7,674737.3280583963
2919,4,3,1994,Partially,,7.2,3818,Good,27.21,9.19,86.0,Medium,0.24,7.04,907448.6724412664
1434,2,1,2007,Fully,78.65,10.0,2581,Average,33.0,2.26,78.0,Medium,0.66,5.59,364575.9166205765
3542,5,2,2005,Fully,76.84,6.76,2557,Good,14.76,7.31,112.0,Low,11.57,4.38,715660.6548736743
4997,4,1,2003,None,89.05,7.03,5787,Average,10.59,6.62,,Medium,3.03,3.72,1066089.806105029
1966,2,1,1978,Fully,66.61,2.89,6403,Good,14.39,1.67,58.0,High,11.86,5.82,537444.0812909589
4061,2,2,2003,Partially,55.68,5.23,5835,Good,15.36,2.04,129.0,High,13.17,6.19,642738.6132099961
1114,4,1,1976,Partially,88.61,8.89,3489,Average,37.25,3.36,115.0,High,4.28,5.03,473008.0958227136
1682,4,3,1994,Partially,70.0,8.67,8075,Good,7.86,7.59,50.0,Medium,13.91,3.89,555220.1235815677
3723,2,3,1980,None,95.41,6.18,6221,Average,39.1,0.49,170.0,Medium,1.0,8.92,875556.2614448157
3167,2,3,1985,Partially,,9.23,7578,Excellent,26.65,4.13,58.0,High,0.2,3.79,1315752.9297562272
630,2,3,2010,Fully,40.16,3.14,839,Average,19.84,6.68,106.0,Medium,-2.85,7.05,290328.2188965115
3483,4,1,1986,Fully,76.09,7.27,3228,,15.72,1.8,197.0,High,-0.08,9.14,750177.5620290495
4778,2,3,2016,None,91.15,3.99,2091,,26.15,1.28,170.0,Low,10.45,6.82,933035.4427840667
4959,1,2,1985,Partially,48.67,7.16,8343,Good,16.56,3.96,51.0,Low,3.08,4.29,873154.6803705182
538,4,3,1954,None,80.49,2.7,6283,Excellent,22.04,2.94,50.0,Medium,-2.04,3.67,487004.54722542036
4459,1,2,1995,Partially,,9.55,3661,Average,37.21,6.53,123.0,Medium,-2.86,8.68,752079.8870799172
4087,3,2,2001,None,74.18,8.29,8675,Good,31.67,9.7,103.0,High,4.8,5.41,825540.0571765029
1420,4,3,1998,None,74.29,3.61,5129,Excellent,37.65,0.14,68.0,Medium,5.79,6.34,533180.1117301579
3269,3,3,1955,Partially,92.97,7.1,7401,Average,35.94,9.03,67.0,Medium,10.89,6.37,770998.4123980219
4611,2,1,1959,Partially,52.58,8.07,2797,Average,40.94,4.39,73.0,High,9.3,5.8,667071.2275424608
992,2,2,1972,Partially,87.47,3.68,5950,Poor,10.88,6.67,176.0,Low,-1.66,9.38,479908.4167265374
1631,5,3,1966,Partially,81.89,2.75,7790,Good,49.76,8.53,101.0,Medium,0.54,9.38,631844.1378884342
4021,2,1,1993,Partially,,4.81,5444,Good,24.31,5.78,69.0,High,8.88,1.36,836213.4219926794
810,3,3,1990,Fully,,3.09,5818,Average,36.19,1.06,188.0,Low,-1.39,5.55,371178.57466001547
1238,2,3,1964,Partially,97.15,6.53,4307,Good,34.21,1.49,122.0,Medium,11.06,6.09,460895.28905629384
3741,4,3,1993,Fully,54.17,5.39,512,Average,28.74,7.91,65.0,Low,8.15,9.33,705216.2315675401
1045,2,2,2007,Fully,70.04,5.7,4534,Average,49.79,2.37,190.0,High,5.73,1.63,344356.7525127725
2961,5,3,1999,Partially,,6.34,6030,Good,11.65,5.73,55.0,High,7.89,8.1,693561.0975051315
4846,2,1,2001,Fully,85.87,9.86,3933,Excellent,21.66,4.34,74.0,Medium,-3.01,6.78,853523.2253807684
2304,3,3,2019,None,63.57,8.34,5133,Excellent,7.26,3.11,112.0,Medium,5.96,7.59,605596.495617198
3712,3,3,2017,None,92.02,7.04,2551,Good,9.91,7.89,64.0,Low,4.03,3.63,889103.2726428165
4310,2,1,2012,None,49.68,4.91,4376,Good,35.94,7.34,103.0,Medium,5.26,7.72,1126340.3641173772
1313,3,1,2007,Partially,68.32,2.22,6408,Average,1.24,6.5,177.0,High,1.75,3.54,567669.7837714615
4624,3,2,1972,Partially,101.79,2.93,6630,Good,44.6,3.79,63.0,Low,4.36,7.08,914887.6610580857
2532,5,2,1993,Partially,63.59,7.85,6927,Good,32.03,2.34,83.0,Low,12.66,8.08,522934.35395912017
4913,4,2,1993,Partially,90.89,4.95,2323,Good,22.6,5.21,179.0,High,1.9,8.05,988507.2429010366
744,5,2,2001,Fully,85.44,4.68,3930,Good,17.24,8.19,69.0,Medium,-4.1,5.9,507814.0833949284
771,1,1,2016,Partially,55.39,9.11,3240,Excellent,7.19,5.8,155.0,High,0.13,4.72,325657.70374057867
4011,5,3,1977,None,78.17,5.88,2288,Excellent,46.16,9.7,65.0,High,4.09,3.19,791074.2478018161
2271,2,3,2016,Fully,97.93,9.2,2452,Good,35.9,0.25,152.0,Low,5.67,1.3,707134.6742195019
1762,4,3,1967,Fully,68.85,9.09,9643,Excellent,17.48,9.98,100.0,Low,3.54,1.44,597681.6106948525
2924,2,2,1976,None,64.65,2.64,3920,Good,4.48,6.94,180.0,Medium,11.53,4.77,815846.2928603289
4861,1,1,2000,Fully,,9.56,3527,Average,16.96,8.34,126.0,Low,13.3,1.85,832591.5114419817
1420,4,1,2009,Fully,71.78,2.62,3601,Good,10.05,3.42,,High,4.74,2.01,493037.81985715637
3930,3,1,1998,Fully,52.56,9.71,6373,Excellent,39.53,5.13,170.0,High,-3.48,2.75,574274.579442627
4935,5,3,1964,None,71.67,5.62,4088,Poor,36.26,7.99,95.0,High,3.42,5.33,854312.4629480015
4984,2,2,2022,Partially,67.72,8.09,4345,Average,25.41,7.63,89.0,Medium,-1.38,6.33,835120.2133489852
3124,1,1,2017,Partially,72.99,7.65,6237,Excellent,44.41,3.41,78.0,Low,0.67,7.25,534418.4017979223
4260,3,2,1964,Fully,38.95,6.15,9839,Excellent,9.85,3.31,194.0,Medium,11.66,5.38,646325.8938667076
2550,5,1,2000,Partially,80.46,6.96,1917,Average,23.15,6.66,142.0,Low,5.71,6.98,663609.7572175034
4000,3,2,1997,Partially,50.49,9.6,4409,Good,35.82,9.34,118.0,Low,11.57,8.76,736680.0007341144
1665,5,1,2021,Partially,86.2,9.42,5245,Excellent,4.32,4.44,134.0,High,14.71,4.37,518746.61184571165
875,4,2,1950,Partially,91.08,7.23,3272,Good,19.26,3.59,115.0,High,5.9,7.19,546841.0240076658
2533,3,1,1956,Partially,45.22,7.26,5675,Poor,29.01,8.96,124.0,High,13.25,6.93,450560.4926547216
645,3,1,2002,Partially,94.43,3.98,6775,Good,18.97,6.86,184.0,Medium,8.67,6.73,380560.7713993314
4888,3,2,1980,Partially,73.25,8.63,2749,Good,24.53,3.94,83.0,High,-2.96,6.25,833206.4083991337
931,4,2,1967,Fully,91.15,7.06,4358,Good,30.8,0.67,151.0,Medium,3.36,7.54,552643.8674781985
1204,1,3,1961,Partially,88.97,8.61,2125,,19.05,7.24,154.0,Low,8.18,8.37,1031862.6319879421
3132,5,2,1997,Partially,53.32,7.26,3249,Good,6.19,3.59,162.0,Medium,9.11,4.53,571170.7706825509
4994,3,1,1979,Partially,62.2,4.39,3105,Poor,7.83,0.8,100.0,Low,12.21,6.89,873848.8372906358
1463,4,1,1956,Partially,99.21,3.52,2347,Excellent,26.82,6.16,119.0,Medium,7.75,3.24,675638.209850399
2734,1,2,1952,None,56.39,2.62,7707,Poor,9.56,3.3,115.0,High,-3.2,7.8,646089.2102726523
2541,5,3,2012,None,80.41,6.69,9270,Good,44.6,3.45,145.0,Medium,-2.15,8.92,628593.7131765638
2328,4,2,1955,Partially,63.66,4.27,1636,Good,41.88,4.84,107.0,High,1.57,7.85,529871.4667454463
2608,5,1,1964,None,61.44,7.04,3633,Excellent,18.1,7.2,169.0,High,0.88,5.42,624558.3317355098
4568,3,1,2020,Fully,74.72,2.47,1657,Good,41.72,2.84,160.0,High,-0.57,2.2,823484.6966159609
1438,1,3,1992,None,107.87,5.01,7952,Good,27.13,0.9,110.0,Medium,7.35,8.86,574016.9746229235
1306,4,2,1967,Partially,86.52,4.08,7775,Average,8.79,4.3,90.0,Low,3.59,8.33,589998.6879190671
1963,1,1,1971,Partially,59.19,4.96,5913,Good,31.1,0.64,,Medium,8.7,7.28,434714.84159356984
3915,3,1,2010,Fully,77.93,2.43,4872,Good,34.29,7.0,139.0,High,2.74,8.66,784757.2512155931
510,1,1,2010,Fully,47.11,7.79,6111,Average,5.11,9.6,139.0,Medium,0.48,5.8,216401.62037699783
2368,1,2,2002,Fully,41.18,2.93,2086,Excellent,16.41,6.62,118.0,Low,6.01,9.92,414570.6298764805
1384,2,2,1975,Fully,77.54,2.12,2823,Good,1.26,2.83,170.0,High,-3.06,8.53,432442.9514769099
4064,1,3,1989,Fully,85.72,9.57,733,Excellent,16.51,1.9,130.0,High,14.77,2.47,842549.7872829719
1889,5,1,1957,None,98.42,3.54,9957,Good,17.44,2.4,75.0,High,8.11,4.62,642472.9496160197
3901,4,1,1970,Fully,80.59,8.62,8416,Average,31.88,2.29,,Low,-2.56,2.53,760599.6370961631
4821,2,3,1992,Partially,75.1,9.72,531,Excellent,10.75,3.21,137.0,Medium,7.45,3.02,888411.323274074
1324,4,1,1970,None,69.92,6.27,9451,Poor,2.47,1.06,154.0,Medium,-3.51,5.51,455935.10582344636
2765,4,3,1952,Fully,82.92,6.21,3703,Average,16.47,8.97,122.0,High,5.12,4.25,745516.2942531019
1436,3,3,1980,None,56.76,4.94,6394,Good,41.46,8.86,165.0,High,0.82,9.19,529560.2584505961
3300,3,1,1976,Partially,,5.4,2294,Excellent,20.56,6.19,181.0,High,9.02,1.0,745964.7235172532
3053,2,2,1976,Partially,57.27,5.86,1261,Average,21.34,0.71,50.0,High,4.74,1.09,551325.7688206864
4345,3,2,2022,Fully,67.14,3.22,4580,Average,23.98,8.06,183.0,High,10.72,9.28,749385.5554119981
2296,3,2,2006,Fully,64.13,4.92,781,Excellent,37.84,0.71,78.0,Medium,-0.4,3.15,484202.9152358272
553,3,2,1982,Partially,63.11,8.53,4571,Poor,24.52,1.15,180.0,Medium,8.12,1.02,247664.03199088832
1226,4,1,1993,Fully,65.4,3.46,5125,Poor,5.47,3.32,177.0,High,8.76,4.94,475735.3522503189
3236,2,3,1992,Fully,78.16,7.84,6478,Good,11.11,4.37,158.0,Medium,4.55,2.76,746368.4547750658
3670,4,3,1980,Fully,94.03,7.21,9507,Average,10.21,3.6,137.0,Medium,12.17,1.48,889795.2263677794
2413,5,1,2014,Partially,79.32,2.46,5059,Good,25.89,1.74,186.0,High,-2.07,5.77,637710.8044501
2096,4,2,1966,Fully,66.4,2.18,1970,Good,2.47,1.21,130.0,High,10.17,2.26,526134.5267701352
2414,5,3,1964,None,81.57,4.82,3787,Good,14.9,8.61,108.0,High,-2.36,8.53,611245.6709039196
2966,1,1,1983,Fully,76.65,7.54,4759,Excellent,30.75,3.7,87.0,Low,-1.86,3.72,649701.0132378336
3237,1,1,1953,None,77.54,4.64,6206,Average,18.38,2.26,91.0,High,-0.97,2.99,670007.8751650141
1349,5,2,2021,Fully,74.65,7.34,1010,Excellent,35.68,4.92,99.0,High,8.22,7.66,529880.365733352
2609,5,1,1977,None,100.89,7.32,8461,Good,20.17,0.46,63.0,High,7.78,8.64,708758.4616381987
502,4,3,2022,Partially,76.48,8.45,9246,Average,48.98,6.04,175.0,High,3.92,1.84,330929.5706282524
4755,5,3,1951,Partially,66.58,2.8,7284,Good,48.3,2.56,149.0,Medium,1.29,2.36,839075.3170278977
4569,2,1,1966,Fully,63.34,6.62,9998,Good,40.19,6.02,82.0,Low,7.26,5.27,845040.0828492063
1392,1,3,2007,Partially,88.52,2.5,5993,Good,47.77,6.18,197.0,Medium,-2.12,6.31,557052.2014542728
2530,1,1,1958,Fully,57.2,3.41,758,Good,11.03,8.11,116.0,High,7.57,1.75,490110.5847324994
3660,5,3,1980,Partially,95.35,4.6,7088,Average,37.8,2.38,133.0,Medium,-4.76,4.38,853651.9298048913
2876,3,2,2015,Fully,46.25,7.66,9916,Good,16.76,4.69,116.0,Medium,-2.11,9.08,580440.2680701715
2433,3,3,2011,Partially,93.39,9.79,2165,Good,36.54,9.62,119.0,High,9.16,8.88,696885.2601728103
1880,5,2,1968,Fully,86.96,4.74,2365,Good,19.32,7.3,162.0,Medium,12.48,3.8,609087.8661059918
4181,2,2,2004,Fully,68.41,6.17,1265,Excellent,15.18,9.76,134.0,High,-3.49,3.05,782430.8482435495
1790,3,1,1977,Partially,63.75,4.07,8756,Excellent,47.98,9.28,164.0,High,7.78,6.24,444409.9384658522
2140,5,2,1999,None,93.48,7.4,3949,Excellent,11.28,6.15,93.0,High,-3.76,1.87,686065.2145281283
3182,2,3,2014,Partially,101.99,4.93,3205,Good,38.17,2.71,178.0,High,12.58,3.1,633818.8543595629
1487,2,3,1952,Partially,65.8,5.85,6265,Good,34.06,7.59,146.0,Low,2.83,2.5,437848.7027561431
1718,4,2,2001,Partially,83.71,6.54,5474,Excellent,15.87,7.01,99.0,High,9.82,2.87,575683.0437598018
1855,2,1,1959,Partially,89.69,7.49,695,Excellent,23.46,5.93,169.0,Medium,-1.54,2.93,595116.1163054786
4765,3,2,1970,Fully,84.04,2.48,1883,Good,8.0,7.01,165.0,High,12.23,6.65,945100.5243025308
4635,3,3,1986,Fully,75.81,6.44,2935,Average,46.14,6.17,,High,3.58,5.39,886752.0958924526
2060,5,3,1964,None,,5.45,1950,Average,48.44,5.24,52.0,High,-0.82,8.76,474436.6805868708
1918,5,2,1958,Partially,79.17,3.07,8914,Excellent,36.89,4.22,185.0,High,6.45,7.62,660169.7208767957
1454,2,2,1993,Partially,43.71,3.66,8424,Average,42.62,0.54,97.0,Medium,0.76,5.49,298157.96777793753
1483,1,2,1988,Partially,95.11,9.07,7558,Poor,5.05,8.67,163.0,Low,0.74,3.77,517435.1853471668
1474,4,3,1954,Partially,49.4,8.97,7816,Good,19.81,8.67,145.0,Medium,-2.71,8.49,413840.7563473062
4633,1,3,1974,Partially,62.42,2.27,6128,Average,17.21,5.98,106.0,Low,-0.72,1.72,1741465.4091695922
4472,2,3,2005,Partially,69.94,7.52,941,Good,28.68,2.75,134.0,Medium,10.96,7.13,807651.3774181068
1413,2,1,2013,Fully,60.02,6.43,2867,Poor,9.98,0.38,139.0,Medium,5.47,2.02,549283.5664662675
536,1,3,2021,Partially,58.08,9.52,5365,Good,28.61,0.11,168.0,Medium,2.1,5.8,221847.07260230172
3887,4,3,2001,Partially,96.14,9.26,9574,,33.06,0.82,127.0,Low,13.59,9.11,841095.9170371987
2211,1,1,1958,None,101.95,6.64,7659,Excellent,7.49,3.66,77.0,Low,10.95,3.14,719311.2057794401
3520,5,1,1959,Partially,98.23,3.11,950,Good,7.45,1.97,141.0,Medium,1.21,1.71,878969.3793323449
1295,3,1,1959,Partially,87.53,5.68,7539,Average,2.74,2.72,134.0,Low,-2.79,4.06,1588790.9316100476
4536,5,1,2022,Fully,111.97,7.8,5698,Average,38.28,7.03,161.0,Medium,-1.31,5.3,868632.6394959601
3611,3,1,2011,Fully,71.01,9.61,9434,Average,17.22,9.6,167.0,Low,8.5,7.52,639094.1960502317
1824,2,1,2009,None,69.57,4.91,7786,Average,12.05,2.15,87.0,Medium,6.26,1.27,518299.0576475545
817,4,2,1968,None,75.17,8.28,3850,Average,39.13,4.71,114.0,Medium,14.62,2.18,247512.07056188164
2896,1,2,1987,Partially,96.44,7.47,3329,Average,8.02,9.92,197.0,Medium,-4.73,4.7,639662.8241702681
2662,4,2,1955,Partially,83.79,2.63,3113,Good,21.93,9.32,75.0,Medium,12.54,1.86,627616.225982277
3245,1,2,1964,Fully,100.91,6.46,2415,Good,37.49,3.59,76.0,High,-4.71,9.6,738483.1182064285
2091,5,3,1996,None,75.98,3.47,7712,Good,29.12,3.26,71.0,High,3.5,5.6,598347.7482185073
3611,5,1,1994,Fully,52.52,7.47,9940,Average,28.15,2.5,150.0,Medium,13.33,4.39,585536.8389176369
4430,1,3,1954,None,64.9,6.88,1027,Good,8.72,1.64,116.0,Medium,8.17,9.82,821661.0146247294
2496,4,1,2002,Partially,,9.78,5319,Excellent,9.87,4.65,118.0,Medium,6.67,6.81,725287.0070096385
1812,1,1,2015,Fully,67.58,9.48,8379,Excellent,29.55,3.48,131.0,High,1.27,5.64,351160.4147389841
1785,2,3,2011,None,76.43,2.07,8932,Poor,2.15,7.47,147.0,Low,14.32,3.17,580008.388679941
4811,5,2,1972,None,78.7,2.64,9056,Excellent,43.59,2.44,64.0,Medium,-1.64,3.28,924126.809607614
2883,2,3,1993,Fully,102.12,8.15,1708,Excellent,18.17,7.39,175.0,High,0.4,4.26,782138.7830422517
3739,5,3,2001,None,88.19,7.49,4620,Good,21.41,2.95,163.0,Medium,4.06,7.76,768088.6814460601
2639,5,1,1995,None,85.25,8.41,6976,Good,13.66,5.97,153.0,High,-2.47,8.34,629794.1339349933
2204,3,1,1968,None,77.37,4.13,3461,Good,43.96,6.42,100.0,High,3.47,2.73,537490.1358252845
862,2,1,1996,None,62.54,8.79,5276,Excellent,32.48,6.75,194.0,Low,-4.21,8.36,314428.1783909946
3104,2,2,2001,Partially,78.64,5.54,2917,Excellent,23.05,1.84,146.0,Low,13.48,3.98,813802.6813863134
2216,3,3,1973,Partially,107.64,4.1,2116,Average,29.68,2.9,101.0,High,1.44,2.8,759061.6720594262
4951,4,3,1966,None,82.7,2.08,9727,Average,19.64,2.54,,High,7.68,2.75,964726.9522002029
4786,2,2,1995,Partially,66.73,8.97,9411,Excellent,23.81,5.8,118.0,Medium,12.41,5.17,804262.0291300147
4238,1,3,2013,Partially,68.72,6.28,5182,Average,18.52,0.85,172.0,Low,11.37,7.9,761582.5021555554
2969,3,3,1977,Partially,96.28,9.8,9665,Average,21.12,5.23,86.0,Medium,12.47,6.14,704882.6542173717
1056,2,1,1999,None,67.01,7.72,7325,Average,16.43,0.97,124.0,Medium,9.41,5.18,377189.36503434356
1325,4,2,2013,Partially,71.99,2.64,2346,Good,4.8,3.44,157.0,Low,-1.13,1.16,1316149.1344559533
3308,2,1,1977,Partially,57.87,6.71,1871,Good,2.83,6.9,84.0,Medium,2.33,6.07,516042.28017637384
3219,5,2,2005,Partially,70.83,2.14,1966,Average,9.53,4.18,88.0,Medium,5.24,7.07,753128.4596513271
4008,1,1,2008,Fully,82.1,6.46,9382,Good,13.33,2.88,167.0,Medium,1.74,1.88,869340.2161013999
4241,3,3,1954,Fully,70.55,4.8,587,Good,44.63,6.2,193.0,High,14.1,9.61,870011.7735120978
2074,5,2,2003,Partially,75.37,7.15,3012,Good,30.95,7.43,137.0,Low,11.14,1.82,640234.2953028278
4498,4,2,1993,Partially,57.71,6.33,9185,Average,47.96,2.62,63.0,High,10.98,7.22,1894515.3195411868
2629,5,1,1991,None,,4.09,1745,Good,17.64,3.06,,Medium,2.22,5.72,678860.6509599653
2903,5,2,2021,Partially,106.98,3.3,6616,Good,20.69,6.44,156.0,Medium,10.1,8.96,844568.1162408527
3829,4,3,2006,None,72.99,5.24,9833,Average,36.27,9.66,126.0,High,7.28,4.73,843838.6924127107
1088,5,3,1996,Fully,80.44,9.89,4731,Average,29.32,2.22,151.0,High,2.5,5.58,523158.8348254559
2512,3,3,1974,None,62.97,5.49,1477,Good,26.87,6.58,66.0,Medium,1.17,5.98,551996.5784268549
2047,2,1,1993,Fully,,7.99,9233,Good,29.2,9.08,173.0,Low,10.78,8.87,622083.7925712144
794,5,2,1964,Partially,70.94,2.46,7222,Average,29.62,4.67,173.0,Medium,6.94,8.2,435675.8982439334
2485,3,1,2000,Partially,91.5,5.03,9502,Excellent,38.52,3.24,166.0,Medium,-4.26,3.52,572918.1762009314
3617,2,3,2002,Partially,90.79,6.64,5007,Average,33.74,6.7,131.0,High,-4.57,9.6,775958.1932897826
2190,2,2,1983,Fully,92.38,8.01,3992,Average,47.91,0.41,196.0,Low,11.84,7.78,1214734.99931545
1636,5,3,1957,Fully,76.2,6.23,5425,Good,47.45,3.67,184.0,Medium,-3.2,1.11,521921.0234539475
2564,3,2,2019,None,105.6,6.12,1633,Excellent,21.67,2.65,104.0,High,5.39,2.65,746834.2577980715
4955,5,2,1970,Partially,87.06,8.11,5365,,2.75,2.32,125.0,High,7.17,8.7,1099306.6152309095
1507,4,1,1956,None,53.56,4.51,8269,Average,1.54,1.88,169.0,Low,13.32,6.81,469625.44341174996
3014,2,2,2005,Partially,,2.72,9260,Good,7.04,7.4,78.0,Medium,5.29,3.32,1801056.0139324025
4026,5,3,1998,None,74.91,4.78,3500,Good,4.67,9.56,135.0,High,-1.12,2.54,926269.012707494
1747,2,2,1991,Fully,92.08,3.27,8166,Good,19.29,3.91,51.0,High,0.21,2.32,561122.6493452609
4402,3,3,1972,Fully,59.21,9.73,7204,Excellent,3.59,0.59,96.0,Low,-4.02,3.86,811461.5089580625
1935,1,1,2001,Partially,73.93,6.62,7865,Good,31.62,7.22,149.0,High,-0.56,9.09,536677.3962501655
1071,5,3,2002,None,86.25,5.57,7132,Good,10.32,5.43,106.0,Medium,11.3,4.17,635825.3051937311
2882,5,2,1965,Partially,,9.3,2267,Average,26.18,7.26,171.0,Medium,10.14,6.95,664131.6497390178
1745,2,3,1986,Fully,72.76,9.2,2574,Good,6.05,6.51,194.0,High,-3.36,2.0,510679.6244357119
2584,3,3,1967,Fully,38.12,5.33,1641,Good,41.56,9.06,147.0,High,4.59,5.78,649948.9010016863
777,4,2,1969,Partially,63.9,9.0,1577,Average,39.22,1.49,174.0,Low,1.04,4.09,416484.1822875816
2387,3,3,1995,Partially,60.34,2.51,5099,Average,19.94,1.77,187.0,Medium,8.0,2.44,604547.3052567218
1765,5,2,1951,Partially,47.08,9.09,6620,Average,45.62,3.48,88.0,High,14.23,8.18,332723.25878774485
1540,4,1,2012,None,64.36,4.48,8843,Excellent,10.1,4.96,58.0,Medium,7.61,8.34,540244.6028227389
1417,3,3,1952,Partially,102.88,6.52,5332,,40.88,9.26,74.0,Low,9.91,3.76,627849.0751748421
1385,1,1,1995,None,,4.16,9170,Good,27.75,9.08,197.0,High,2.96,6.88,522596.1339114796
3252,2,3,1998,Partially,62.47,9.88,2185,Average,17.15,8.73,64.0,Medium,-4.35,4.55,664818.3936128512
521,3,3,1950,Partially,66.18,2.57,3991,Average,5.13,2.3,162.0,High,3.36,1.4,416926.8802882872
3691,3,1,1971,None,66.21,5.58,1871,Average,9.39,7.32,140.0,Medium,5.22,4.85,658969.5169224301
2853,1,3,1963,Partially,86.34,6.97,5959,Excellent,43.28,3.9,188.0,Medium,4.85,6.18,619281.8682928584
1186,5,3,1994,Partially,81.07,6.92,3923,Average,30.74,9.32,193.0,Medium,-0.33,3.69,479553.1747654919
784,2,1,1955,None,64.32,7.91,4476,Average,12.62,2.22,,Medium,4.5,9.54,267009.85197625624
4247,3,3,2014,Fully,66.05,7.8,1898,Excellent,25.3,1.5,195.0,High,9.36,6.02,777794.7091910443
1262,4,2,1970,Partially,91.22,8.35,5861,Good,6.28,8.44,197.0,High,1.23,4.34,605208.7693949435
2928,3,3,1953,Fully,97.87,3.87,1901,Good,5.84,7.2,57.0,Medium,7.68,7.62,785513.7450160551
3007,2,3,1952,Fully,61.55,4.96,1912,Good,45.48,8.23,64.0,Low,-1.94,4.07,625319.5921530003
528,3,3,1979,Fully,73.24,5.06,6930,Good,23.43,1.66,126.0,Medium,0.56,1.22,436897.0529841391
1406,1,1,1980,Fully,76.93,9.65,3730,Average,18.72,8.86,174.0,High,12.68,1.07,469839.512603643
3604,3,2,1983,Partially,72.16,5.27,8021,Average,47.5,6.81,127.0,High,7.53,3.72,642009.6913985736
4499,3,2,1969,None,91.95,3.77,6349,Poor,20.55,6.55,96.0,High,-3.28,2.4,1022795.4215405218
3494,4,3,2003,Partially,72.72,7.06,6556,Good,17.48,5.87,168.0,Medium,0.29,4.17,748662.1546470551
3006,1,1,1974,Partially,,5.42,5222,Good,14.38,7.67,96.0,Low,14.88,7.93,711384.9004965142
4109,1,1,1964,Partially,93.01,4.0,8609,Average,28.69,4.21,67.0,High,0.4,3.78,794657.1079640841
4053,3,2,1987,None,64.7,7.72,1764,Good,28.36,1.41,145.0,High,6.61,6.04,656059.0370273568
1953,4,1,1972,None,76.0,3.54,2759,Excellent,1.79,5.44,82.0,Low,6.01,9.28,601202.78251949
3856,3,3,2001,None,60.35,7.07,862,Average,33.05,7.51,178.0,Medium,3.05,7.28,753245.3683925269
1015,3,3,2015,None,69.13,5.44,6776,Good,39.63,1.62,141.0,Low,-4.32,6.06,438428.7195580366
538,2,1,2006,Fully,88.06,4.55,6920,Excellent,31.18,2.32,,High,0.69,8.8,479472.33660770196
3842,2,3,2006,Partially,78.69,9.57,5884,Excellent,43.62,7.0,95.0,Medium,14.07,3.98,749222.5755840864
1386,4,2,2001,Partially,106.69,4.6,7248,Poor,14.54,2.77,128.0,High,-4.62,2.78,689251.4735923102
