Age,Gender,Income (in $1000s),Online Hours Per Week,Purchase Frequency (Last Month),Is Loyal Customer,Preferred Shopping Platform,Ad Clicks (Last Month),Discounts Used (Last Month),Competitor Pricing Index,Economic Conditions,Distance to Nearest Store (km),Shopping Frequency,"Purchase Decision (1=Yes, 0=No)"
52,Male,25.61,37,14,0,Website,0,4,1.19,Neutral,15.88,16.92808809606854,1
38,Female,33.96,22,9,1,Mobile App,3,9,1.01,Neutral,46.83,5.48871071855291,1
54,Male,51.22,12,5,1,Website,5,0,1.03,Favorable,41.77,9.290017340444843,1
22,Male,68.48,32,14,0,Mobile App,9,6,1.07,Unfavorable,28.48,13.024439714614884,1
36,Female,79.59,28,13,0,Mobile App,10,7,1.12,Favorable,28.41,12.145411495538617,1
31,Female,47.32,45,18,1,In-store,12,5,1.04,Favorable,3.28,30.0,1
43,Male,22.71,33,12,1,Website,5,0,1.1,Favorable,32.65,15.711814192756428,1
21,Male,54.77,33,13,1,Website,5,8,0.98,Favorable,16.74,27.77133631743513,1
42,Male,85.7,26,2,1,In-store,13,6,0.95,Favorable,30.81,8.412777302007095,1
62,Female,17.55,14,3,0,In-store,11,5,1.13,Favorable,42.09,1.0,1
59,Male,30.91,49,13,1,In-store,6,3,1.15,Favorable,2.75,27.359780273780334,1
42,Female,62.22,8,13,0,Mobile App,11,2,0.86,Neutral,30.55,9.043776512307035,1
35,Female,53.07,25,7,0,Website,10,3,1.02,Unfavorable,28.43,11.912044203685623,1
57,Male,,2,9,0,In-store,0,0,1.07,Favorable,10.73,17.329935289591013,0
25,Male,54.4,35,8,0,Website,9,8,0.83,Favorable,32.5,10.881655802817146,1
56,Male,69.55,46,13,0,Website,0,1,1.17,Neutral,27.96,10.303120327637675,1
57,Male,48.03,4,7,0,Website,6,1,1.01,Neutral,38.48,4.074890215007988,1
31,Female,46.28,19,10,0,Mobile App,11,2,1.06,Favorable,5.98,19.622143990456816,1
49,Male,61.78,19,9,0,Website,3,0,0.87,Unfavorable,22.46,14.580083536240126,1
68,Male,44.59,4,17,0,Mobile App,5,9,0.91,Unfavorable,49.9,3.9588301730165076,1
55,Female,72.85,9,3,1,Website,5,2,0.85,Neutral,34.62,11.705632014243582,1
50,Male,90.53,15,3,0,Website,8,3,0.91,Favorable,34.37,6.002935703716224,1
40,Female,32.14,24,11,0,Mobile App,1,8,1.0,Favorable,16.23,17.63158256540327,1
32,Male,25.0,43,17,1,Website,3,4,1.13,Neutral,5.15,30.0,1
50,Female,57.43,24,7,0,In-store,3,5,1.01,Favorable,47.5,1.0,1
42,Female,24.29,29,2,0,In-store,6,0,0.9,Favorable,5.72,18.90390957544398,1
34,Female,23.95,13,17,0,Website,0,2,0.82,Favorable,49.64,3.4870339378457444,1
50,Female,9.02,21,6,0,In-store,4,6,1.05,Favorable,6.73,20.952905351397664,1
64,Male,42.35,42,0,1,Mobile App,13,6,0.97,Favorable,8.96,22.01812859590214,1
19,Male,49.34,27,12,1,Mobile App,10,9,1.19,Unfavorable,15.76,21.835210295779138,1
31,Female,39.65,29,2,0,Mobile App,3,0,1.11,Unfavorable,25.86,6.62281508801679,1
57,Female,77.81,18,2,0,In-store,1,8,1.12,Neutral,39.62,1.3440596373751081,1
57,Male,76.32,37,14,0,Website,4,0,0.8,Favorable,48.56,2.196420821483891,1
68,Male,88.58,41,18,1,Website,8,6,1.11,Favorable,18.26,21.949187756305957,1
56,Male,50.93,19,3,0,Mobile App,14,1,0.88,Neutral,1.51,18.73783362468653,1
68,Male,73.68,34,12,1,Website,7,8,1.03,Neutral,31.03,17.63580023859199,1
23,Male,56.18,21,12,0,Website,8,8,0.98,Neutral,35.68,9.056677510326542,1
23,Female,54.17,14,14,0,Mobile App,6,8,1.03,Favorable,20.17,16.861044767990467,1
20,Male,40.65,10,18,1,In-store,9,3,0.85,Neutral,9.58,30.0,1
24,Male,4.74,33,15,0,Website,6,5,0.98,nan,15.65,19.551647121926464,1
68,Female,62.75,23,6,0,Website,13,1,0.81,Favorable,32.96,7.932974826337511,1
25,Female,,5,2,0,Mobile App,13,2,0.82,Favorable,24.96,8.446130777933524,1
59,Female,19.49,16,19,0,Website,12,5,1.06,Neutral,37.3,10.970894604670153,1
69,Female,49.81,27,1,1,In-store,1,0,1.18,Neutral,11.3,26.132692348812686,1
32,Male,69.83,49,17,1,In-store,11,6,1.11,Favorable,42.18,11.021586075361721,1
64,Female,42.81,30,10,0,In-store,12,1,0.99,Unfavorable,8.22,21.991560183683575,1
46,Female,73.86,35,0,0,Mobile App,2,7,0.82,Favorable,16.83,12.64359466013879,1
50,Male,47.19,8,15,0,Website,10,4,0.82,Unfavorable,29.76,14.919935731942447,1
69,Female,39.5,9,16,0,Website,9,6,0.86,Favorable,36.97,9.369970038848004,1
47,Female,75.01,20,15,1,Mobile App,7,7,1.19,Favorable,13.68,29.662206163063473,1
56,Male,31.32,33,9,1,In-store,10,2,0.96,Unfavorable,47.43,5.062974894301292,1
44,Male,35.5,30,16,0,Website,1,5,1.14,Unfavorable,35.45,9.378013120917965,1
53,Male,32.09,28,2,0,Website,6,8,1.08,Unfavorable,11.27,17.05173213459395,1
46,Male,27.15,42,17,0,In-store,11,3,1.04,nan,36.43,12.745571391757395,1
55,Male,53.06,42,18,0,Website,5,9,1.18,Neutral,34.97,9.020237465426723,1
50,Female,39.74,10,13,0,Website,11,6,0.89,Favorable,37.76,6.079320973297374,1
54,Male,59.77,32,1,0,In-store,9,0,0.98,Favorable,45.84,1.0,1
44,Female,15.31,45,11,0,Website,3,6,1.15,Favorable,35.73,8.824640533896224,1
50,Female,27.55,0,10,1,Website,10,8,1.02,nan,17.92,23.73713619279391,1
21,Female,51.03,20,16,0,Mobile App,14,9,0.9,Unfavorable,39.63,8.415680709077698,1
39,Female,79.39,22,5,0,Mobile App,3,7,0.88,Favorable,34.95,7.334164478311234,1
19,Male,57.57,8,18,0,Website,14,3,1.1,Neutral,28.93,10.927697635248578,1
27,Male,38.21,0,12,1,Mobile App,2,2,0.81,Neutral,18.01,19.59287563139075,1
22,Female,20.21,20,6,1,Mobile App,13,6,1.17,Favorable,46.09,4.939615380084113,1
27,Female,37.04,21,10,1,Mobile App,5,0,0.81,Unfavorable,25.88,19.148767925456806,1
50,Female,49.15,3,6,1,Website,2,7,1.05,Favorable,31.59,11.56072128805181,1
55,Male,2.85,0,12,0,Website,14,0,1.04,Unfavorable,21.06,14.887775444656933,1
30,Female,25.73,9,12,1,Mobile App,8,6,1.03,Unfavorable,39.15,12.187691876326012,1
48,Male,35.25,14,0,0,Mobile App,3,5,0.99,Unfavorable,17.38,10.854930691453186,1
64,Female,44.85,35,18,1,Mobile App,3,9,1.14,Neutral,40.63,16.492135834090867,1
53,Female,48.91,28,18,1,Mobile App,1,7,1.06,Favorable,5.84,30.0,1
62,Male,37.78,45,14,0,Mobile App,1,5,1.11,Favorable,35.59,14.122735267796676,1
41,Female,60.12,4,13,0,Website,6,4,0.85,Neutral,24.11,14.748489641438056,1
69,Male,52.49,28,2,1,In-store,4,8,0.82,nan,35.09,7.697277454281353,1
32,Male,42.6,46,19,0,In-store,2,3,0.81,Unfavorable,26.8,16.278011432497014,1
46,Female,62.88,46,3,1,Mobile App,5,6,0.86,Neutral,7.15,25.113615979279075,1
25,Female,,26,6,0,Website,5,5,1.07,nan,24.11,10.615961371076057,1
22,Female,20.92,24,0,0,Mobile App,0,9,1.0,Favorable,48.25,1.0,1
46,Female,49.36,15,18,0,Mobile App,2,5,1.1,Favorable,37.86,9.122269026519794,1
64,Male,67.81,15,2,0,Website,11,4,0.88,Neutral,15.36,8.6848602651831,1
21,Female,71.15,35,19,0,Mobile App,4,1,0.95,Favorable,47.23,6.916949922432765,1
29,Female,57.42,24,14,0,Mobile App,10,3,1.16,Neutral,39.06,5.227841940472002,1
62,Male,45.33,40,12,0,In-store,12,0,1.17,nan,18.54,16.824689895775226,1
19,Female,58.43,0,13,0,Website,10,8,1.17,Favorable,30.38,8.367312293964899,1
44,Male,66.16,4,6,1,Website,6,8,1.13,Neutral,21.62,17.019606847597593,1
48,Female,52.32,40,0,0,Mobile App,3,7,1.08,Neutral,5.29,17.694698248381297,1
68,Male,54.57,19,12,1,In-store,11,3,1.17,Favorable,40.4,9.811071587642804,1
68,Male,45.0,4,3,0,Mobile App,7,4,1.09,Unfavorable,9.96,16.429512078730543,1
53,Male,23.26,35,11,0,Mobile App,2,0,1.18,Favorable,23.17,10.548131314000289,1
53,Female,46.51,28,6,0,Website,5,3,0.81,Favorable,35.28,5.449821765508977,1
43,Male,36.46,47,1,0,Mobile App,14,3,1.17,Unfavorable,46.64,1.0,1
60,Male,,33,16,1,In-store,5,4,1.02,Favorable,3.6,30.0,1
44,Female,78.68,47,0,1,Mobile App,8,1,0.84,Favorable,19.97,14.774208399604744,1
22,Female,69.03,17,13,0,In-store,3,1,0.89,Neutral,30.93,10.556573528432475,1
37,Male,16.13,1,0,0,Mobile App,6,1,1.14,Neutral,39.08,1.0,1
28,Male,28.3,15,2,0,In-store,9,7,1.0,Favorable,46.09,1.0,1
27,Male,42.73,28,10,1,Website,0,1,1.19,Favorable,0.52,30.0,1
57,Male,37.19,32,6,0,Website,10,5,0.85,Favorable,31.57,6.948262023407787,1
55,Female,56.35,15,8,1,Website,0,1,0.97,Neutral,0.84,29.66128975307425,1
23,Female,25.13,34,2,1,Mobile App,1,7,0.93,Neutral,39.47,9.39474341421446,1
25,Female,69.17,46,0,0,Website,3,0,1.01,Neutral,7.91,16.85013074446138,1
40,Male,49.12,42,18,0,Mobile App,11,1,1.05,Neutral,44.78,8.118861759992663,1
64,Female,43.19,41,1,1,In-store,5,4,1.06,Favorable,8.18,19.695323241314455,1
43,Female,49.71,16,4,0,Mobile App,3,5,0.8,Favorable,38.33,3.5589412868179613,1
63,Female,41.65,3,16,1,Website,14,8,0.84,Favorable,14.82,26.2941842792497,1
60,Female,9.39,48,18,1,In-store,5,5,0.81,Favorable,28.08,23.513186219567363,1
29,Female,50.24,3,4,0,Mobile App,1,7,1.15,Neutral,30.62,4.1952018512560505,1
43,Female,43.59,24,13,0,Mobile App,8,6,0.93,Neutral,10.73,25.482126901780322,1
30,Male,30.91,32,9,1,In-store,10,0,0.95,Favorable,15.29,24.15441804763359,1
57,Female,71.95,13,6,1,In-store,2,1,0.98,Unfavorable,5.82,27.021268534098073,1
35,Female,63.39,23,7,1,Mobile App,6,3,1.14,Favorable,0.76,25.822636052549893,1
42,Female,98.78,10,7,0,In-store,0,0,0.81,Favorable,12.35,15.515235952515809,1
50,Male,66.7,24,6,0,Mobile App,7,7,0.85,Favorable,26.04,11.230056759943551,1
64,Female,37.13,27,12,1,Mobile App,3,3,1.07,Neutral,35.82,8.929101948545743,1
57,Female,31.88,6,13,0,Mobile App,13,6,1.19,Favorable,39.78,3.5990055640621903,1
60,Male,40.11,48,18,1,Mobile App,10,6,1.06,Unfavorable,3.95,30.0,1
29,Male,36.67,35,10,0,Mobile App,11,7,0.9,Favorable,13.98,20.39025420433698,1
61,Female,52.18,9,1,1,Mobile App,14,8,1.01,Unfavorable,38.63,10.469418294155503,1
53,Female,19.22,48,16,0,Website,12,8,1.19,Favorable,24.3,15.18136993853053,1
65,Female,62.95,35,5,1,Mobile App,4,6,1.01,Neutral,9.52,21.006579688047324,1
21,Male,51.82,30,8,0,Mobile App,6,8,0.95,Unfavorable,19.91,12.509198550126381,1
22,Female,60.65,18,18,1,In-store,2,4,0.95,Favorable,13.87,27.968863552038865,1
54,Male,,17,4,0,Website,8,9,1.19,Favorable,3.01,20.093428362636462,1
25,Male,54.93,48,8,0,In-store,8,3,1.09,Favorable,38.3,2.1404251354000428,1
59,Male,75.98,5,6,0,In-store,7,2,1.07,Unfavorable,14.94,16.57951340710717,1
66,Male,32.79,27,3,1,Mobile App,0,5,0.89,Neutral,47.28,1.0,1
45,Male,32.24,6,17,0,Mobile App,11,9,1.02,Neutral,44.46,7.759528177085046,1
48,Male,64.24,37,17,0,Mobile App,12,8,0.94,Neutral,35.96,11.932411272235314,1
26,Male,30.62,11,19,0,In-store,11,3,0.9,Favorable,16.67,20.571378210022196,1
68,Male,45.33,40,16,1,Mobile App,1,1,1.16,Favorable,14.36,26.39107590528167,1
46,Female,79.51,49,3,0,Website,1,2,0.95,Favorable,24.03,8.901457369463545,1
31,Male,32.53,33,15,0,Mobile App,2,2,0.91,Favorable,18.05,18.333443506967182,1
57,Male,80.89,24,4,1,Mobile App,1,1,1.17,Unfavorable,45.11,1.8825353100332136,1
58,Female,43.28,16,8,0,Website,0,8,0.88,Neutral,6.61,13.90563878476593,1
39,Male,27.58,32,1,0,Mobile App,10,3,1.1,Unfavorable,36.36,2.0683000166889967,1
28,Female,62.07,22,1,1,Website,4,2,1.06,Favorable,30.74,8.141290237547288,1
40,Male,52.15,8,3,0,Mobile App,5,9,1.17,Favorable,40.41,1.0,1
18,Male,50.26,5,19,0,Mobile App,12,5,1.13,Unfavorable,27.35,13.9953172615728,1
63,Female,34.63,1,19,1,In-store,6,7,1.08,Favorable,31.66,20.571717933993295,1
54,Female,52.01,37,16,0,Mobile App,9,7,0.93,Favorable,48.16,6.0715721622113055,1
38,Female,8.65,8,19,0,Mobile App,6,9,1.0,Favorable,5.05,27.657238248232485,1
43,Female,54.38,2,18,1,In-store,1,5,1.18,Favorable,5.69,30.0,1
63,Female,75.94,15,2,1,Mobile App,12,4,0.81,Unfavorable,19.98,16.671722632395245,1
53,Male,,24,4,0,In-store,6,6,1.12,Favorable,23.9,12.246409190774862,1
40,Male,41.86,23,9,0,Website,1,2,0.9,Unfavorable,10.39,22.627937681804866,1
18,Male,32.51,46,5,1,In-store,1,9,0.87,Unfavorable,4.59,23.692975182229812,1
68,Male,19.78,28,2,1,Website,11,1,0.89,Favorable,1.6,22.163086870624266,1
57,Female,,43,16,0,In-store,5,7,0.82,Neutral,38.35,9.444363966926728,1
32,Female,26.38,39,9,0,Website,5,8,1.2,Favorable,24.51,8.654208831046503,1
38,Male,45.15,25,11,0,Website,7,5,1.15,Favorable,42.25,4.928899601549862,1
64,Female,72.98,37,0,0,Website,4,3,1.01,Unfavorable,18.36,11.265503598344035,1
26,Female,19.55,34,17,0,Website,4,5,1.09,Favorable,35.32,10.574099375179294,1
26,Male,55.89,22,18,0,Mobile App,9,6,1.02,Favorable,24.68,20.24007405954783,1
27,Male,54.39,3,19,0,Mobile App,0,7,1.12,Favorable,30.8,14.254189282396432,1
69,Male,83.44,41,3,1,In-store,3,2,1.14,Favorable,18.82,18.19573694568279,1
43,Male,61.42,13,14,0,Website,0,5,0.89,Favorable,4.52,27.053413194179747,1
58,Male,62.57,46,8,0,Website,9,9,0.98,Favorable,47.39,1.0,1
52,Female,63.99,38,5,1,Mobile App,4,5,1.05,Favorable,41.89,5.766312142056527,1
69,Male,31.52,6,11,1,Website,14,9,1.19,Unfavorable,15.94,21.802966946512615,1
42,Male,38.54,7,17,0,In-store,14,6,1.07,Favorable,47.96,5.364161042581222,1
43,Female,72.34,41,14,0,Mobile App,7,3,1.16,Favorable,15.37,19.95863227675411,1
28,Female,8.98,18,18,0,Mobile App,0,5,1.14,Favorable,22.43,21.208894361345312,1
55,Female,36.35,1,8,0,Website,13,1,1.03,Neutral,37.88,3.790480917525148,1
19,Male,23.38,46,12,1,Website,2,7,1.16,Neutral,15.8,22.62928579027962,1
24,Male,54.68,0,15,0,Mobile App,0,2,0.95,Unfavorable,16.56,21.128740594575298,1
35,Female,41.57,41,12,1,Mobile App,12,8,0.95,Neutral,20.8,21.913017131482246,1
44,Male,62.52,37,0,1,In-store,5,7,1.11,Favorable,23.69,13.041155532324769,1
51,Male,47.82,12,17,1,Mobile App,9,5,0.85,Favorable,6.62,29.799169486264415,1
44,Female,19.08,41,2,0,In-store,0,9,0.92,Neutral,1.37,19.311981536334105,1
34,Female,20.0,43,16,1,In-store,9,1,1.04,Neutral,46.0,8.19126118584394,1
60,Male,49.88,23,4,0,Website,11,7,0.97,Favorable,17.98,12.960422473560843,1
61,Male,34.58,31,5,1,In-store,2,5,1.18,Neutral,5.53,25.90294777011132,1
68,Male,39.35,29,16,0,Website,14,0,1.18,Unfavorable,38.08,9.699201284287986,1
41,Male,68.77,5,16,0,Mobile App,4,5,1.0,Neutral,15.11,20.280279591635676,1
42,Male,65.18,37,0,0,Mobile App,4,4,1.02,Neutral,9.49,15.891891112985274,1
24,Male,85.95,32,6,0,Mobile App,1,5,1.09,Neutral,48.15,1.0,1
69,Male,43.67,43,15,0,Website,2,0,0.98,Favorable,46.07,5.598726020375873,1
23,Female,37.18,22,4,0,Mobile App,13,3,0.88,Favorable,5.73,16.271591036174,1
41,Female,58.36,9,15,0,In-store,12,6,1.1,Favorable,45.01,5.504939162032272,1
50,Female,38.78,45,3,0,In-store,8,4,1.1,Favorable,44.6,1.0,1
66,Male,39.44,14,10,1,Mobile App,12,5,0.9,Unfavorable,31.9,14.259697058217,1
46,Male,45.96,22,13,0,Website,0,1,1.13,Favorable,26.72,13.152973627097342,1
60,Male,83.05,35,12,0,In-store,12,7,1.05,Neutral,11.26,18.25237284646419,1
39,Male,64.08,0,7,0,In-store,0,9,0.89,Neutral,6.51,20.157293743869985,1
43,Male,66.18,7,19,0,Website,11,3,1.06,Neutral,30.52,18.204663675697944,1
45,Female,82.16,2,14,0,Website,1,5,0.89,Neutral,41.19,6.26925142931448,1
67,Female,68.05,13,17,0,In-store,7,2,0.91,Favorable,34.59,10.652355242340208,1
38,Female,27.37,16,6,1,In-store,5,8,1.14,Favorable,9.45,20.042510791102103,1
66,Male,67.75,33,18,1,Website,13,7,1.17,Unfavorable,14.86,27.30064015044334,1
24,Female,70.29,46,8,0,In-store,3,5,0.9,Favorable,27.55,11.100017025672702,1
34,Male,63.04,5,10,1,Mobile App,6,8,1.17,Favorable,31.44,13.328260216173172,1
37,Male,46.09,4,9,1,In-store,5,9,0.9,Favorable,4.08,26.97064696299711,1
58,Male,60.93,45,13,0,Mobile App,8,8,0.85,Favorable,30.9,8.391197730970896,1
66,Female,49.6,40,15,0,Mobile App,5,1,0.82,Favorable,36.95,9.271614125832002,1
37,Female,30.44,39,7,0,Website,1,8,0.9,Unfavorable,9.48,19.754468987138072,1
39,Male,35.41,28,0,0,In-store,2,7,0.95,Neutral,12.69,9.139632767189372,1
45,Female,64.07,34,11,0,Mobile App,8,1,1.17,Unfavorable,13.32,18.766443907365048,1
57,Female,31.88,17,2,1,In-store,14,8,0.9,Favorable,47.02,5.950725923144036,1
66,Male,33.77,39,1,1,Website,14,4,0.95,Favorable,20.65,15.47609406712738,1
24,Male,65.07,47,15,1,Mobile App,6,8,1.09,Neutral,26.76,20.103752115689666,1
18,Male,52.68,29,3,1,Mobile App,5,2,0.92,Unfavorable,36.35,10.44239503088967,1
49,Female,61.54,14,1,0,Website,12,3,1.07,Neutral,18.89,12.192230242755777,1
30,Male,25.42,14,11,0,Website,4,0,0.97,Unfavorable,5.72,21.92246506703721,1
47,Female,60.99,15,16,0,Website,2,4,0.88,Unfavorable,32.89,8.316327984673775,1
40,Male,36.8,32,19,0,Mobile App,3,6,1.09,Favorable,33.53,18.14066623832556,1
68,Female,29.66,9,9,0,Mobile App,0,6,0.81,Favorable,13.4,19.291867337373215,1
36,Male,39.89,18,19,0,Website,4,5,0.92,Neutral,2.24,30.0,1
49,Female,77.24,36,7,1,Website,6,5,0.94,nan,33.43,13.865762108372657,1
47,Female,42.71,49,17,0,Mobile App,1,7,0.98,Favorable,35.32,13.078276611022524,1
46,Female,94.03,2,17,0,Website,10,9,1.07,Neutral,1.79,29.195953044836234,1
66,Female,8.76,35,17,1,Mobile App,11,8,0.98,Neutral,34.81,16.152434264155143,1
62,Male,19.07,3,1,0,Mobile App,7,3,1.04,Favorable,46.98,1.0,1
46,Female,76.48,10,11,0,Mobile App,14,3,1.04,Neutral,9.35,22.289182360595667,1
47,Male,81.51,40,9,1,Mobile App,11,7,0.95,Favorable,26.31,16.635266661857404,1
33,Male,32.73,32,7,0,Website,9,4,1.17,Unfavorable,34.99,6.231133320168857,1
57,Female,51.38,27,18,1,Website,5,9,1.18,Neutral,11.89,30.0,1
36,Male,64.24,31,9,0,In-store,9,8,1.03,Unfavorable,37.7,9.843655398914784,1
35,Female,45.41,15,10,0,In-store,13,5,0.83,Favorable,43.47,1.3827580255702467,1
18,Female,53.0,8,13,1,Mobile App,2,8,1.0,Favorable,40.82,12.050209777670576,1
31,Male,50.22,10,14,1,Website,1,3,0.87,Unfavorable,13.32,23.328120538829772,1
68,Female,20.37,5,9,0,Mobile App,7,0,0.99,Favorable,40.31,4.7357923514970555,1
64,Male,43.11,48,3,0,In-store,12,3,0.88,Favorable,20.96,7.657636375068986,1
67,Male,50.25,26,6,0,Mobile App,3,8,1.08,nan,13.69,14.76046504569207,1
19,Male,52.06,11,10,0,In-store,6,6,0.83,Neutral,8.81,20.636143004185964,1
45,Female,,21,2,0,Website,6,5,1.18,Favorable,45.49,1.0,1
66,Female,65.07,39,4,1,Mobile App,13,1,0.88,nan,21.63,13.224282147112998,1
67,Female,52.59,47,1,0,Mobile App,9,3,1.06,Neutral,43.35,1.0,1
47,Female,28.89,36,11,0,Mobile App,8,0,1.17,Neutral,8.4,21.22853538220986,1
55,Male,85.98,20,4,0,Mobile App,9,2,0.9,Unfavorable,38.47,5.692239323582681,1
68,Male,43.07,32,6,1,Mobile App,14,1,1.17,Favorable,5.95,24.216346032168662,1
21,Female,44.37,16,3,1,In-store,13,3,0.96,Favorable,1.37,26.683382303501553,1
18,Male,62.83,28,10,0,In-store,7,3,1.18,Favorable,49.75,1.0,1
25,Male,87.68,39,8,1,Website,11,8,1.19,Unfavorable,4.14,24.976333212694037,1
46,Male,63.62,9,3,0,Mobile App,12,6,0.88,Unfavorable,23.35,8.680670859236962,1
56,Female,66.52,17,8,0,In-store,14,2,1.13,Favorable,43.98,1.0,1
20,Female,29.97,46,11,1,Website,7,6,0.88,Favorable,41.06,6.4784777553468675,1
49,Male,51.74,12,15,0,Mobile App,6,7,0.89,Favorable,23.82,18.682577377165135,1
27,Male,39.35,26,0,0,Website,9,6,0.83,Unfavorable,30.74,3.913276653139042,1
27,Female,64.08,9,7,1,Website,4,7,0.86,Neutral,31.67,13.620704459663852,1
36,Female,65.94,31,0,0,In-store,8,8,1.05,Unfavorable,5.94,14.81725795562853,1
63,Male,82.66,40,19,1,Mobile App,13,0,0.98,Favorable,14.6,27.292699243437173,1
51,Female,6.83,44,18,1,Mobile App,11,9,1.12,Favorable,15.4,27.3129930741251,1
50,Male,37.39,2,3,1,Website,10,5,0.93,Neutral,19.22,17.064142599651365,1
40,Male,76.0,21,13,0,Website,6,3,1.19,Unfavorable,14.06,17.809730532736683,1
45,Female,21.97,26,13,0,In-store,14,0,0.82,Favorable,12.95,21.642796027365872,1
49,Female,66.11,2,8,0,Mobile App,11,1,0.83,Favorable,18.06,10.87320426043307,1
67,Male,72.68,32,8,1,Website,13,9,1.08,Unfavorable,19.27,16.21200888212153,1
24,Female,49.43,1,16,0,In-store,10,3,1.16,Favorable,24.62,15.457985085482278,1
46,Female,21.57,10,14,0,Mobile App,2,0,1.12,Favorable,9.09,17.663693186056165,1
25,Female,47.57,45,9,0,Mobile App,11,5,1.0,Favorable,39.52,3.170214596950562,1
18,Female,79.17,9,16,1,Mobile App,5,0,0.91,Favorable,43.1,10.507272516957814,1
20,Female,80.78,38,8,1,Website,2,8,0.81,Favorable,12.78,25.65184821020576,1
41,Male,54.16,32,3,0,Mobile App,5,9,1.0,Neutral,6.6,16.879855237024582,1
40,Male,30.46,6,13,1,Mobile App,12,2,0.99,Favorable,36.25,12.330601136750007,1
25,Male,,14,2,1,Website,7,0,0.94,Favorable,46.25,1.0,1
64,Male,66.42,25,11,0,Mobile App,8,5,1.03,Neutral,2.24,24.53238491104129,1
54,Female,31.77,10,0,0,Website,1,5,1.09,Unfavorable,1.21,19.414845940386776,1
20,Female,56.85,37,0,0,Mobile App,5,6,1.08,Neutral,9.58,13.024608278867827,1
68,Male,55.93,26,12,1,Website,13,6,0.91,Unfavorable,34.4,15.627684773124608,1
50,Male,37.26,38,13,0,In-store,2,9,1.03,Unfavorable,48.26,4.067377176116009,1
45,Male,56.96,6,15,0,In-store,14,3,0.86,Unfavorable,37.64,7.561390462640192,1
64,Male,72.12,0,6,0,Website,13,4,0.85,Unfavorable,28.87,4.715233615256027,1
25,Female,44.08,9,9,1,In-store,13,2,1.11,Neutral,35.18,9.765639051997592,1
51,Male,74.17,20,14,0,Mobile App,6,5,1.08,Neutral,11.92,24.108829676811816,1
52,Female,14.89,14,7,0,Mobile App,10,6,1.11,Neutral,34.58,6.488537332103975,1
49,Female,94.37,29,10,0,In-store,3,8,0.86,Unfavorable,16.41,15.262843075599353,1
41,Male,51.15,29,13,0,Website,13,8,1.17,Neutral,11.51,23.477462290734394,1
31,Male,71.46,7,12,1,Website,14,4,0.85,Neutral,12.21,24.524484063433754,1
49,Male,54.37,23,12,1,Website,14,3,1.15,Favorable,33.56,14.246714524849509,1
63,Female,33.53,18,8,1,Mobile App,4,6,0.94,Unfavorable,38.48,14.541658150571955,1
60,Female,49.27,2,16,0,Website,9,2,0.84,Favorable,29.3,15.19230291600299,1
33,Male,11.81,14,17,0,Mobile App,5,3,0.91,Favorable,3.66,26.09897537050379,1
21,Female,63.77,35,18,0,Website,10,8,0.87,Neutral,2.38,28.54986401409709,1
69,Female,53.88,5,12,1,Mobile App,12,4,1.0,Favorable,11.25,26.476953760589858,1
54,Male,46.17,41,11,0,Website,7,9,1.18,Favorable,14.68,19.803056236771248,1
38,Male,65.05,49,19,1,Website,1,6,0.93,Favorable,20.54,22.15679922158139,1
31,Female,50.75,47,19,0,Website,3,1,1.04,Favorable,4.26,30.0,1
48,Female,62.14,17,7,1,Mobile App,13,8,1.16,Favorable,36.4,13.148649307148354,1
65,Female,69.25,37,10,0,In-store,10,4,1.05,Neutral,35.72,5.282129851687044,1
35,Female,39.02,18,6,0,Website,3,4,0.94,nan,17.66,14.141139222424286,1
24,Female,33.29,48,0,0,Mobile App,5,3,1.2,Favorable,28.37,5.964485315277317,1
27,Male,15.55,49,9,0,In-store,3,7,0.87,Neutral,5.5,22.070655028909826,1
24,Female,52.45,29,14,1,In-store,10,3,1.01,Unfavorable,21.05,23.02593877225449,1
50,Female,59.04,12,3,0,Mobile App,4,1,1.12,Favorable,42.95,1.0,1
40,Female,23.53,38,0,0,Website,4,4,0.8,Neutral,33.2,4.264004276790975,1
38,Male,78.41,11,10,0,Website,7,2,1.08,Favorable,5.65,23.441152724117742,1
36,Male,33.55,33,4,1,Website,3,3,0.91,Neutral,42.46,6.761289113359497,1
65,Male,7.93,11,18,0,Mobile App,11,2,0.87,Favorable,34.19,12.85632461829752,1
36,Male,79.9,43,18,1,Mobile App,5,6,0.91,Unfavorable,22.93,23.644898317623397,1
53,Male,10.54,23,3,0,Mobile App,6,5,1.19,Favorable,34.76,4.550028454324802,1
46,Female,69.28,3,1,1,Website,7,1,1.16,Neutral,9.05,17.138981430379836,1
35,Female,64.42,35,6,0,Website,8,7,0.89,Favorable,27.75,7.096979507669305,1
19,Male,56.39,49,12,0,In-store,9,4,0.85,Neutral,31.09,7.868282671249206,1
18,Female,39.54,47,19,1,In-store,7,5,0.95,Favorable,46.42,9.141939469172652,1
64,Male,60.06,13,11,0,Mobile App,13,7,1.04,Favorable,3.81,21.616096404885706,1
22,Male,70.97,16,1,0,Website,3,6,1.15,Favorable,19.05,13.048040466450114,1
37,Male,30.28,48,8,1,In-store,3,2,1.19,Favorable,46.87,8.233448574257283,1
28,Female,69.53,2,15,1,Website,9,1,1.1,Neutral,11.25,28.161379648125816,1
